english,part_of_speech,alutiiq_north,north_audio,north_sentence,alutiiq_south,south_audio,south_sentence,image_name,root_word,category,edited_by,notes,completed,approved
"boss, leader, chief",Noun ,,,,kasa'inaq,kasa'inaq,,,,,,,,angnertaq,,CDKA (41),
her husband,,,,,wiinga,wiinga,,,,,,,,angutii,,CDKA (67),
older brother,,,,,anngaq,anngaq,,,,,,,,aningaq,,CDKA (42),
older brother,,,,,aningaq,aningaq,,,,,,,,anngaq,,CDKA (42),
overshoe,,,,,qaliruaq,qaliruaq,,,,,,,,anuckiiq,,CDKA (83),
fish spear with detachable barb,,,,,maalik,maalik,,,,,{OH},,,apak'aangaaq,,CDKA (99),
mouse,,,,,ugnaq,ugnaq,,,,,,,,"apllengaq, ugna'aq",,CDKA (78),
mouse,,,,,ugna'aq,ugna'aq,,,,,{Afog.},,,"apllengaq, ugnaq",,CDKA (78),
steer it,,,,,aruluku,aruluku,,,,,,,,aquluku,,CDKA (101),
"rot (so that it gets soft, as wood), steer",,,,,aruluni,aruluni,,,,,,,,aquluni,,CDKA (90),
be sitting (in sitting position),,,,,aqumgaluni,aqumgaluni,,,,,,,,aqum'aluni,,CDKA (96),
be sitting (in sitting position),,,,,aqum'aluni,aqum'aluni,,,,,{pres} aqum'auq,,,aqumgaluni,,CDKA (96),
"steering wheel, pilot house",,,,,aruwik,aruwik,,,,,,,,"aqusuun, aquwik, arusuun",,CDKA (101),
steering wheel,,,,,arusuun,arusuun,,,,,,,,"aqusuun, aquwik, aruwik",,CDKA (101),
steering wheel,,,,,aquwik,aquwik,,,,,,,,"aqusuun, arusuun, aruwik",,CDKA (101),
steering wheel,,,,,aqusuun,aqusuun,,,,,,,,"aquwik, arusuun, aruwik",,CDKA (101),
go to get it,,,,,iwarluku,iwarluku,,,,,,,,aqwalluku,,CDKA (61),
go to get some,,,,,iwaulluni,iwaulluni,,,,,,,,aqwalluni,,CDKA (61),
whale,,,,,arwaq,arwaq,,,,,,,,ar'uq,,CDKA (116),
"cast iron kettle, pot",,,,,cukunaq,cukunaq,,,,,,,,araaq,,CDKA (70),
be light (not heavy),,,,,uqeghnani,uqeghnani,,,,,,,,artunainani,,CDKA (73),
Bigfoot,,,,,aula'aq,aula'aq,,,,,,,,arula'aq,,CDKA (40),
"stop (doing something), quit",,,,,aulairluni,aulairluni,,,,,,,,"arulairluni, taq'iluni",,CDKA (101),
