english,part_of_speech,alutiiq_north,north_audio,north_sentence,alutiiq_south,south_audio,south_sentence,image_name,root_word,category,edited_by,notes,completed,approved
"fern, fiddlehead",Noun,qaatuqutaq,,,qaatuqutaq,,,647971.thb.jpg,,Vegetation,Candace Branson,,TRUE,
fern,Noun,qaataq,,Qaatanek pisurciqukuk. - We (two) will gather ferns.,qaataq,,Qaatanek pisurciqukuk. - We (two) will gather ferns.,24823579.thb.jpg,,Vegetation,Candace Branson,AWOTW,TRUE,
dice; die,Noun,maqaq,,Maqarlinuk. - Let's (two of us) play dice.,maqaq,,Maqarlinuk. - Let's (two of us) play dice.,dice.jpg,,"Communication & Arts, Household",Candace Branson,AWOTW,TRUE,
partner; buddy; pal; friend,Noun,angayuk,,Gui angayuka Kicarwigmen ag'uq. - My partner is going to Anchorage.,angayuk,friend.mp3,Gui angayuka Kicarwigmen ag'uq. - My partner is going to Anchorage.,friend.jpg,,People & Roles,Candace Branson,AWOTW,TRUE,
teenager(s); young person; adolescent,Noun,sun'aa'aq (1); sun'aa'rat (3+),teenager.mp3,,sun'aa'aq (1); sun'aa'rat (3+),,,SKW_217.gif,,People & Roles,Candace Branson,,TRUE,
wick,Noun,kumateq,wick3n.mp3,,kumateq,wick3s.mp3,,wick.gif,,Household,Candace Branson,,TRUE,
wick,Noun,kumaq,wick.mp3,,kumaq,wick1s.mp3,,wick.gif,,Household,Candace Branson,,TRUE,
wick,Noun,kumat'kaaq,wick2n.mp3,,kumat'kaaq,wick2n.mp3,,wick.gif,,Household,Candace Branson,,TRUE,
wallet,Noun,akiuteq,walletn.mp3,,akiuteq,walletn.mp3,,Wallet2.gif,,Numbers & Time,Candace Branson,,TRUE,
wall,Noun,estinaq,,,estinaq,walls.mp3,,wall.jpg,,Household,Candace Branson,,TRUE,
vehicles; things that go,Noun,ag'utet,thingsthatgon.mp3,,ag'utet,thingsthatgon.mp3,,vehicles.gif,,Transportation,Candace Branson,,TRUE,
"urinating, s/he is",Verb,qur'uq,,,qur'uq,urinatings.mp3,,SKH_129.gif,,Body & Health,Candace Branson,,TRUE,
undershirt; shirt,Noun,tiup'laaq,,,tiup'laaq,undershirts.mp3,,SKH_070.gif,,Clothing & Regalia,Candace Branson,,TRUE,
"uncle, your maternal",Noun,angaan,L2.04.30n.mp3,,angaan,l2.04.30n.mp3,,unclematernal.gif,,People & Roles,Candace Branson,,TRUE,
umbrella,Noun,qitersuun; qitersuuteq,,,qitersuun; qitersuuteq,umbrellas.mp3,,umbrella.gif,,Clothing & Regalia,Candace Branson,,TRUE,
Tuesday,Noun,Aipi'in,tuesdayn.mp3,,Aipi'in,tuesdayn.mp3,,Tuesday.gif,,Numbers & Time,Candace Branson,Day of the Week,TRUE,
typewriter,Noun,igarsuun,typewrittern.mp3,,igarsuun,typewrittern.mp3,,typewriter.gif,,Community & Work,Candace Branson,Remembered Word,TRUE,
two,Numeral,mal'uk,twon.mp3,,mal'uk,twos.mp3,,2.gif,,Numbers & Time,Candace Branson,,TRUE,
Ugashik,Noun,Ugaasiq,ugashikn.mp3,,Ugaasiq,ugashikn.mp3,,Ugashik.gif,,Placenames,Candace Branson,,TRUE,
Uganik Island,Noun,Unganuuq,,,Unganuuq,uganiks.mp3,,uganikisland.gif,,Placenames,Candace Branson,,TRUE,
cottonwood (tree),Noun,ciquq,,Ciqumek aturtaartut palkaaliyakameng. - They use cottonwood when they make smoked salmon.,ciquq,cottonwoods.mp3,Ciqumek aturtaartut palkaaliyakameng. - They use cottonwood when they make smoked salmon.,tre032.jpg,,Vegetation,Candace Branson,AWOTW,TRUE,
rocking horse; something horse-like,Noun,kuuniruaq,toyhorsen.mp3,,kuuniruaq,toyhorses.mp3,,SKH_132.gif,,Communication & Arts,Candace Branson,New Word,TRUE,
toy gun; BB gun,Noun,nutguaq,,,nutguaq,toyguns.mp3,,toygun.gif,,Household,Candace Branson,,TRUE,
toys,Noun,wamqutat,toysn.mp3,,wamqutat,toysn.mp3,,wamqutat.jpg,,Household,Candace Branson,,TRUE,
"toe, big",Noun,angenquyuq,bigtoen.mp3,,putukuq,bigtoes.mp3,,toe.gif,,Body & Health,Candace Branson,,TRUE,
tie,Noun,kaal'stuuk,,,kaa_'stuuk,ties.mp3,,tie.gif,,Clothing & Regalia,Candace Branson,,TRUE,
sandpaper,Noun,qaacaaq; qaugutaq,,,qaacaaq; qaugutaq,sandpapers.mp3,,Sandpaper.gif,,"Community & Work, Community & Work",Candace Branson,,TRUE,
rope,Noun,a_afkuq,ropen.mp3,,i_ufkuq,ropen.mp3,,rope.jpg,,Transportation,Candace Branson,,TRUE,
"sailboat, ship",Noun,skuunaq,sailboatn.mp3,,skuunaq,sailboatn.mp3,,skw_111.jpg,,Transportation,Candace Branson,,TRUE,
researcher,Noun,iwa'ista,,,iwa'ista,,,iwaista.jpg,,People & Roles,Candace Branson,,TRUE,
"reading, s/he is",Verb,naaqiyuq,readingn.mp3,,naaqiyuq,readingn.mp3,,fotosearch_evw_133.jpg,,"Community & Work, Physical Actions",Candace Branson,,TRUE,
plastic (kind of like glass),Noun,stikluuruaq,,,stikluuruaq,,,fotosearch_fad_028.jpg,,"Household, Qualities",Candace Branson,New Word 9/24/2009,TRUE,
playground; play area,Noun,wamwik,playgroundn.mp3,,wamwik,playgroundn.mp3,,Fotosearch_COL_065.gif,,Community & Work,Candace Branson,,TRUE,
planer (tool),Noun,st_uusaq,,,st_uusaq,planers.mp3,,planer.jpg,,Community & Work,Candace Branson,,TRUE,
"piggybank; bank, little",Noun,akirsuungcuk,banklittlen.mp3,,akirsuungcuk,banklittlen.mp3,,Fotosearch_EVW_071.gif,akirsuungcug-,Numbers & Time,Candace Branson,New Word,TRUE,
picture,Noun,pat_aitaq,picturen.mp3,,pat_iitaq,picturen.mp3,,SKT_041.gif,,Communication & Arts,Candace Branson,,TRUE,
pepper,Noun,pii_itsaaq,L2.12.02n.mp3,,pii_icaaq,L2.12.02s.mp3,,pepper.gif,,Food & Kitchen,Candace Branson,,TRUE,
pasta (plural),Noun,paas'taat,,,paas'taat,pastas.mp3,,fotosearch_fad_078.jpg,,Food & Kitchen,Candace Branson,New Word,TRUE,
papers; book,Noun,kalikat,papersn.mp3,,kalikat,papersn.mp3,,SKT_042.gif,,Community & Work,Candace Branson,,TRUE,
"painting, s/he is",Verb,k_aasiirtuq,paintingn.mp3,,k_aasiirtuq,paintingn.mp3,,EVW_044.gif,,"Communication & Arts, Community & Work",Candace Branson,,TRUE,
outside; weather; universe,Locative,llaami,outside.mp3,,llaami,outsides.mp3,,,,Environment & Location,Candace Branson,,TRUE,
outside of it,Locative,llaatini,outsiden.mp3,,llaatini,outsiden.mp3,,Bearoutbox.gif,,Environment & Location,Candace Branson,,TRUE,
paddle,Noun,anguaq,paddlen.mp3,Anguaq taisgu. - Bring me the paddle.,anguaq,paddlen.mp3,Anguaq taisgu. - Bring me the paddle.,paddle.gif,,"Transportation, Transportation",Candace Branson,AWOTW,TRUE,
"ocean, in the",Locative,imarmi,L2.15.19n.mp3,,imarmi,L2.15.23s.mp3,,,,Environment & Location,Candace Branson,,TRUE,
nose; nostrils (like a fish gill),Noun,,,,paciguak,L1.02.04s.mp3,,nose.gif,,Body & Health,Candace Branson,,TRUE,
Nuchek,Noun,Nuuciq,nuchekn.mp3,,Nuuciq,nuchekn.mp3,,Nuchek.gif,,Placenames,Candace Branson,,TRUE,
needle,Noun,mingquteq; mingqun,L1.17.12n.mp3,,mingquteq,L1.17.12s.mp3,,needle.gif,,Clothing & Regalia,Candace Branson,,TRUE,
mother; mom,Noun,aana(q); maama(q),L1.03.02n.mp3,,aana(q); maama(q),L1.03.02s.mp3,,fotosearch_col_113.jpg,,People & Roles,Candace Branson,,TRUE,
mask,Noun,giinaquq,L1.08.15n.mp3,,giinaquq,L1.08.15s.mp3,,Iuaulik.gif,,Clothing & Regalia,Candace Branson,,TRUE,
"scraping or carving it, s/he; scrape; carve",Verb,keligaa,L2.13.09n.mp3,,keligaa,L2.13.09s.mp3,,sub108.jpg,,Physical Actions,Candace Branson,This word can be used for scraping skins or carving wood.,TRUE,
grasses; grass,Noun,weg'et,L1.03.07s.mp3,Weg'et kiagmi anglitaartut. - The grass grows tall in the summertime.,weg'et,L1.20.11s.mp3,Weg'et kiagmi anglitaartut. - The grass grows tall in the summertime.,grass.gif,,Vegetation,Candace Branson,AWOTW,TRUE,
corner,Noun,qipayaq,,,qipayaq,corners.mp3,,corner.gif,qipayar-,"Household, Household",Candace Branson,,TRUE,
clean up (command),Verb,perirturu,L2.03.11n.mp3,,perirturu,L2.03.11s.mp3,,cleaning.jpg,,"Physical Actions, Physical Actions",Candace Branson,,TRUE,
meat or steak(s),Noun,kemek (1-2); kemget (3+),,,kemek (1-2); kemget (3+),meats.mp3,,SKT_160.gif,,Food & Kitchen,Candace Branson,,TRUE,
lamp; light,Noun,tanqik,l1.04.13n.mp3,,tanqik,l1.04.13s.mp3,,fotosearch_swo_017_copy1.jpg,,Household,Candace Branson,,TRUE,
lamp,Noun,laam'paaq,L1.04.13n.mp3,,laam'paaq,L1.04.13s.mp3,,fotosearch_swo_017.jpg,,"Household, Community & Work",Candace Branson,,TRUE,
"dough, s/he is making",Verb,kuashniartuq,,,kuashniartuq,makingdoughs.mp3,,doughmaking.jpg,,Food & Kitchen,Candace Branson,,TRUE,
"net, gill; gill net",Noun,siit'kaaq,L2.17.19n.mp3,,kugyasiq,L2.17.19s.mp3,,15844304.gif,,"Community & Work, Community & Work",Candace Branson,,TRUE,
Monday,Noun,Pekyun,mondayn.mp3,,Pekyun,mondayn.mp3,,Monday.gif,,Numbers & Time,Candace Branson,Day of the Week,TRUE,
mirror,Noun,sai_kalaq,mirrorn.mp3,,,mirrorn.mp3,,mirror.gif,,Household,Candace Branson,,TRUE,
mechanic,Noun,masiinista,mechanicn.mp3,,masiinista,mechanicn.mp3,,Fotosearch_EVW_096.gif,,People & Roles,Candace Branson,,TRUE,
magpie,Noun,qallqayaq,magpie.mp3,,uguusiq,magpie2s.mp3,,magpie.gif,,Animals,Candace Branson,uguusiq - Used in Old Harbor,TRUE,
"loud, s/he/it is not; quiet",Verb,emkiituq,notloudn1.mp3,,emkiituq,notloudn1.mp3,,,,Qualities,Candace Branson,,TRUE,
"loud, s/he or it is",Verb,emtuuq,loudn.mp3,,emtuuq,loudn.mp3,,SKT_043.gif,,Senses & Emotions,Candace Branson,,TRUE,
"fighting, they (2) are",Verb,alltuk,fightingn.mp3,,alltuk,fightingn.mp3,,SKH_189.gif,,Physical Actions,Candace Branson,,TRUE,
faucet,Noun,k_aanaq,,,k_aanaq,faucets.mp3,,fotosearch_res_044.jpg,,Household,Candace Branson,,TRUE,
father; dad,Noun,ata(q),L1.03.01n.mp3,,ata(q),L1.03.01n.mp3,,SKH_192.gif,,People & Roles,Candace Branson,,TRUE,
elbow,Noun,ipuk; elquq,elbows.mp3,,ikuwik; ikuk,elbow2s.mp3,,elbow.gif,,Body & Health,Candace Branson,,TRUE,
eight,Numeral,inglulgen,eight.mp3,,inglulgen,eight.mp3,,8.gif,,Numbers & Time,Candace Branson,Number,TRUE,
"eating, I am",Verb,ner'ua,L1.07.01n.mp3,,ner'ua,L1.07.01s.mp3,,fotosearch_fad_154.jpg,,"Food & Kitchen, Physical Actions",Candace Branson,,TRUE,
dustpan,Noun,callersuuteq,L1.17.05n.mp3,,callersuuteq,L1.17.05s.mp3,,14933605(1).gif,,Household,Candace Branson,New Word,TRUE,
dust,Noun,peluq,,,peluq,dusts.mp3,,dust.gif,,Household,Candace Branson,,TRUE,
"dull, it is",Verb,ip'gyaituq,dulln.mp3,,ip'giatuq,dulls.mp3,,Fotosearch_FAD_165.gif,,Senses & Emotions,Candace Branson,,TRUE,
drum,Noun,mengqut'staaq,drumn.mp3,,mengqut'staaq,,,Drum.gif,,Communication & Arts,Candace Branson,New Word,TRUE,
drumstick (for music),Noun,kaugtuutaq; kaugsuun,drumstick1n.mp3,,kaugtuutaq; kaugsuun,drumstickn.mp3,,Drumstick.gif,,Communication & Arts,Candace Branson,,TRUE,
bell,Noun,kuluk'aunaq,belln.mp3,,kuluk'uunaq,bells.mp3,,Bell.gif,kuluk'aunar-; kuluk'uunar-,Transportation,Candace Branson,,TRUE,
"dressing up, s/he is",Verb,qungatuq,,,qungartuq,dressingups.mp3,,Fotosearch_SWO_135.gif,,Clothing & Regalia,Candace Branson,,TRUE,
"cradle, hanging (traditional)",Noun,urnaq,hangingcradlen.mp3,Ur_anamen liiluku paipeq. - Put the baby in the cradle.,urnaq,hangingcradles.mp3,Ur_anamen liiluku paipeq. - Put the baby in the cradle.,Cradlesling.gif,,Household,Candace Branson,AWOTW,TRUE,
"crawling, s/he is",Verb,pangalegtuq,crawlingn.mp3,,aurartuq,crawling2s.mp3,,Fotosearch_KLHE18.gif,,Physical Actions,Candace Branson,,TRUE,
crutch; cane,Noun,aya'uq,,,aya'uq,crutchs.mp3,,crutch.gif,,Body & Health,Candace Branson,,TRUE,
crab,Noun,sakuuq; iwalrayak,crab.mp3,"Aa'i, maani sakuut amlertaallriit. - Yeah, there used to be a lot of crab around here.",sakuuq,L1.07.19s.mp3,"Aa'i, maani sakuut amlertaallriit. - Yeah, there used to be a lot of crab around here.",crab3.gif,,"Animals, Food & Kitchen",Candace Branson,AWOTW,TRUE,
couch; sofa,Noun,aqumlleq,,,aqumlleq,couch2s.mp3,,sofa.gif,,Household,Candace Branson,,TRUE,
cookbook,Noun,kenirtam kalikai,,,kenirtam kalikai,cookbook2s.mp3,,cookbook.gif,,Food & Kitchen,Candace Branson,,TRUE,
Chenega,Noun,Caniqaq,chenegan.mp3,,Caniqaq,chenegan.mp3,,Chenega.gif,,Placenames,Candace Branson,,TRUE,
candle,Noun,suic'kaaq,candlen.mp3,,suic'kaaq,candlen.mp3,,skh_175.jpg,,Household,Candace Branson,,TRUE,
"airplane, by",Locative,tengausqagun,L2.19.17n.mp3,,tengausqakun,L2.19.17s.mp3,,skw_112_copy1.jpg,,Transportation,Candace Branson,,TRUE,
arm (his/her),Noun,ipia,L1.02.20n.mp3,Ipigka awa tukniya'utuk. - My arms now are getting weak.,ipii,L1.02.20s.mp3,Ipigka awa tukniya'utuk. - My arms now are getting weak.,arm.gif,Ipi-,Body & Health,Candace Branson,AWOTW,TRUE,
doll,Noun,suaruaq,dolln.mp3,Nutaan suarualitaartut ineqsunasqanek. - Nowadays they make beautiful dolls.,suaruaq,dolls.mp3,Nutaan suarualitaartut ineqsunasqanek. - Nowadays they make beautiful dolls.,SKH_130.gif,,Household,Candace Branson,AWOTW,TRUE,
dog,Noun,aikuq; sapaka(q),dog.mp3,April mal'ugnek piugtengq'rtuq. - April has two dogs.,piugta,dogs.mp3,April mal'ugnek piugtengq'rtuq. - April has two dogs.,skh_008.jpg,,Animals,Candace Branson,AWOTW,TRUE,
dime; a ten cent coin,Noun,qulen siin'taaq,dimen.mp3,,qulen siin'taaq,dimen.mp3,,dime.gif,,Numbers & Time,Candace Branson,,TRUE,
disk game (traditional); disc game,Noun,kakangaq,diskgamen.mp3,"Kita, kakangarlita! - Come on, Let's play the disc game!",kakangaq,diskgames.mp3,"Kita, kakangarlita! - Come on, Let's play the disc game!",Kakangaq.gif,,"Communication & Arts, Communication & Arts",Candace Branson,AWOTW,TRUE,
dirt,Noun,iqaq,dirtn.mp3,Tan'urat waamut iqami. - The boys are playing in the dirt.,iqaq,dirts.mp3,Tan'urat waamut iqami. - The boys are playing in the dirt.,dirt.gif,,Environment & Location,Candace Branson,AWOTW,TRUE,
devil's club,Noun,cukilanarpak,L1.20.12n.mp3,Cukilanarpat tak_ut. - The devil's club are tall.,cukilanarpak,L1.20.12s.mp3,Cukilanarpat tak_ut. - The devil's club are tall.,devilsclub3.jpg,,Vegetation,Candace Branson,AWOTW,TRUE,
"den, animal",Noun,legtaq,L1.20.06n.mp3,,legtaq,L1.20.06s.mp3,,15642920.gif,,Environment & Location,Candace Branson,,TRUE,
dart game (traditional),Noun,augca'aq,dartgamen.mp3,Augca'arciqut. - They are going to play the dart game.,augca'aq,dartgamen.mp3,Augca'arciqut. - They are going to play the dart game.,Augca'aq.gif,,Communication & Arts,Candace Branson,AWOTW; Lost Words Project NVA-004.v1.n4 (6/4/97). Dart game with a porpoise target.,TRUE,
"dark, it is",Verb,tamlegtuq,darkn.mp3,,tamlegtuq,darks.mp3,,Fotosearch_RES_074.gif,,Senses & Emotions,Candace Branson,,TRUE,
Danger Bay,Noun,Isuwilek,,,Isuwilek,dangerbays.mp3,,dangerbay.gif,,Placenames,Candace Branson,,TRUE,
"dancing traditional or gesturing, s/he is",Verb,lliilertuq,dancingtraditionaln.mp3,,lliilertuq,dancingtraditionaln.mp3,,PEO009.gif,,Communication & Arts,Candace Branson,,TRUE,
I am hungry,Verb,kaigtua,L1.05.09n.mp3,,kaigtuanga,L1.05.09s.mp3,,,,"Food & Kitchen, Physical Actions",Candace Branson,,TRUE,
heel; heel of shoe,Noun,kitngiq,,,kitngiq,heelofshoes.mp3,,heel.gif,,Body & Health,Candace Branson,,TRUE,
heater; furnace,Noun,kaminaq,heatern.mp3,,kaminaq,heaters.mp3,,furnace.gif,,Household,Candace Branson,,TRUE,
liver,Noun,aarit,,,aarit,livers.mp3,,liver.gif,,Body & Health,Candace Branson,,TRUE,
lemon,Noun,kuunasqaq,,,kuunasqaq,lemon2s.mp3,,Fotosearch_FAD_092.gif,,"Food & Kitchen, Food & Kitchen",Candace Branson,,TRUE,
lemon,Noun,limuunaq,,,limuunaq,lemons.mp3,,Fotosearch_FAD_092.gif,,"Food & Kitchen, Food & Kitchen",Candace Branson,,TRUE,
ladle; bailer; dipper,Noun,qalutaq,ladlen.mp3,Una qalutaq qupuramek canamauq. - This dipper is made of wood.,qalutaq,ladlen.mp3,Una qalutaq qupuramek canamauq. - This dipper is made of wood.,SKT_119.gif,,Food & Kitchen,Candace Branson,AWOTW,TRUE,
knife,Noun,nuusiq,L2.17.09n.mp3,,nuusiq,l2.17.09s.mp3,,Fotosearch_FAD_165.gif,,Food & Kitchen,Candace Branson,,TRUE,
"kissing him/her, s/he is",Verb,meluwaraa,kissingn.mp3,,meluwaraa,kissingn.mp3,,SKH_123.gif,,Physical Actions,Candace Branson,,TRUE,
"thoughtless, s/he is",Verb,pic'unituq,L2.09.11n.mp3,,pic'unituq,L2.09.11s.mp3,,thoughtless.jpg,,Qualities,Candace Branson,,TRUE,
"miss you, I",Complex,kusuwamken,,,kusuwamken,,,skh_197.jpg,,"Greetings & Expressions, Greetings & Expressions, Senses & Emotions, Senses & Emotions",Candace Branson,,TRUE,
terrorist,Noun,alingca'isgnusqaq,terrorist2.mp3,,alingca'isgnusqaq,terrorist2.mp3,,criminal.jpg,alinge-,People & Roles,Candace Branson,"""one who is prone to make fear"" New Word",TRUE,
terrorist,Noun,alingca'isqaq,terrorist3.mp3,,alingca'isqaq,terrorist3.mp3,,criminal_copy1.jpg,alinge-,"People & Roles, People & Roles",Candace Branson,"""one who scares people"" New Word",TRUE,
back of body,Noun,tunuq,,,tunuq,back2s.mp3,,back.jpg,tunur,Body & Health,Candace Branson,,TRUE,
bowl,Noun,suuparwik,,,suuparwik,bowls.mp3,,skt_064.jpeg,,"Food & Kitchen, Household",Candace Branson,,TRUE,
washbasin; small washtub,Noun,erturwik,l1.04.07n.mp3,,erturwik,l1.04.07n.mp3,,,,Household,Candace Branson,small washbasin,TRUE,
but why?; and why?,Complex,qai-llu,andwhyn.mp3,,qai-llu,andwhyn.mp3,,,qai,Greetings & Expressions,Candace Branson,,TRUE,
shower (enclosure to wash oneself),Noun,waanaaq,,,waanaaq,showers.mp3,,waanaaq.jpg,waanaar-,"Body & Health, Household",Candace Branson,,TRUE,
guest; stranger,Noun,allanertaq,strangern.mp3,Amlesqat allanertat! - Many guests!,allanertaq,strangers.mp3,Amlesqat allanertat! - Many guests!,,,People & Roles,Candace Branson,AWOTW,TRUE,
No,Other,qang'a,,,qang'a,nos.mp3,,,,Greetings & Expressions,Candace Branson,,TRUE,
yes,Other,aa'a,,,aa'a,yess.mp3,"Aa'a, una yaamaq.",,,Greetings & Expressions,Candace Branson,,TRUE,
midwife,Noun,paapuskaaq,,,paapuskaaq,midwife.mp3,,midwife.jpg,,People & Roles,Candace Branson,Russian root,TRUE,
what is that (by you/over there)?,Complex,Caqiq taugna?,whatisthatbyyoun.mp3,,Caqiq taugna?,whatisthatbyyoun.mp3,,whatisit.jpg,,Greetings & Expressions,Candace Branson,,TRUE,
push the button (on machine or keyboard),Noun,puukicaaru,buttonkeyboardn.mp3,,puukicaaru,buttonkeyboardn.mp3,,,,"Household, Community & Work",Candace Branson,New Word 2/18/2011,TRUE,
kite,Noun,ka'it'aaq,kiten.mp3,,ka'it'aaq,kiten.mp3,,skw_023.jpg,ka'it'aar-,"Household, Community & Work",Candace Branson,New Word 12/14/10 Alutiicized English,TRUE,
actor,Noun,maas_kartumasqaq,actorn.mp3,,maas_kartumasqaq,,,actor.jpg,,People & Roles,Candace Branson,literally the one who wears a mask,TRUE,
"sour, it is",Verb,quuhnartuq,L1.07.03n.mp3,,quuhnartuq,L1.07.03s.mp3,,SKT_080.gif,,"Senses & Emotions, Senses & Emotions",Candace Branson,,TRUE,
a sour thing,Adjective,quuhnasqaq,,,quuhnasqaq,sours.mp3,,skt_080_copy1.jpeg,quuhnar-,"Qualities, Senses & Emotions",Candace Branson,Literally the sour one,TRUE,
father; dad,Noun,taata(q),,,taata(q),dads.mp3,,SKH_192.gif,,People & Roles,Candace Branson,,TRUE,
team,Noun,angayukut'sqat,teammembersn.mp3,,angayukut'sqat,teammembersn.mp3,,fotosearch_swo_027.jpg,,People & Roles,Candace Branson,New Word,TRUE,
tape,Noun,nepyutaq,tapen.mp3,,nepyutaq,tapen.mp3,,Fotosearch_SWO_024.gif,,Community & Work,Candace Branson,,TRUE,
five,Numeral,talliman,fiven.mp3,Tallimanek una iqallugnek pitllria. - This guy got five fish.,talliman,fives.mp3,Tallimanek una iqallugnek pitllria. - This guy got five fish.,5.gif,,Numbers & Time,Candace Branson,AWOTW,TRUE,
"talking, they (2) are",Verb,niugtuk,talkingn.mp3,,niugtuk; yugtuk (S),talkingn.mp3,,SKH_176.gif,,"Communication & Arts, Physical Actions",Candace Branson,,TRUE,
"talking too much, s/he/it is",Verb,niugpakartuq; niuwapakartuq,L2.18.23n.mp3,,niugpakartuq; niuwapakartuq,L2.18.23s.mp3,,,,"Communication & Arts, Physical Actions",Candace Branson,,TRUE,
syrup (food or medicine),Noun,su_upaq,,,su_upaq,syrups.mp3,,surupaq.jpg,,Food & Kitchen,Candace Branson,,TRUE,
swing,Noun,kacuulaq,swingn.mp3,,kacuulaq,,,SKH_033.gif,,Household,Candace Branson,,TRUE,
"sweeping, s/he is",Verb,kagiyuq,,,kagiyuq,sweepings.mp3,,Fotosearch_RES_143.gif,,Physical Actions,Candace Branson,,TRUE,
suspenders,Noun,pacaa'skaak,,,pacaa'iskiik,suspenderss.mp3,,suspenders2.gif,,Clothing & Regalia,Candace Branson,,TRUE,
"sunny, it is not",Verb,macangenituq,l2.01.02n.mp3,,macangenituq,l2.01.02s.mp3,,,,Weather,Candace Branson,,TRUE,
"sunny, it is",Verb,macartuq,L2.01.01n.mp3,,macartuq,L2.01.01n.mp3,,SKW_006.gif,,Weather,Candace Branson,,TRUE,
"sunny, it is",Verb,macanguq,,,macanguq,l2.01.01s.mp3,,SKW_006.gif,,Weather,Candace Branson,,TRUE,
Sunday; Prayer or Feast Day,Noun,Agayuneq,sundayn.mp3,,Agayuneq,sundayn.mp3,,Sunday.gif,,Numbers & Time,Candace Branson,Day of the Week,TRUE,
suitcase,Noun,suut'kais'kaq,,,,,,SKW_115.gif,,Transportation,Candace Branson,,TRUE,
"studying, s/he is",Verb,litnaurtuq,studyingheisn.mp3,,litnaurtuq,studyingheisn.mp3,,,,"Community & Work, Physical Actions",Candace Branson,,TRUE,
suit,Noun,paa_aq,,,paa_aq,suits.mp3,,Suit.gif,,Clothing & Regalia,Candace Branson,,TRUE,
clam; cockle,Noun,mamaayaq,L1.15.02n.mp3,,mamaayaq; qahmaquq,L1.15.02s.mp3,,clam.gif,,Animals,Candace Branson,AWOTW,TRUE,
student,Noun,litnaurta,student2n.mp3,,litnaurta,student2n.mp3,,student.gif,,People & Roles,Candace Branson,,TRUE,
student,Noun,litnausqaq,student1n.mp3,,litnausqaq,student1n.mp3,,student.gif,,People & Roles,Candace Branson,,TRUE,
chicken (farm animal),Noun,kuu_it'saaq,chicken.mp3,,kuu_icaaq,,,Chicken2.gif,,"Animals, Food & Kitchen",Candace Branson,,TRUE,
store; shop,Noun,laug'kaaq,storen.mp3,,laaf'kaaq,storen.mp3,,Fotosearch_SWO_050.gif,,Community & Work,Candace Branson,,TRUE,
"stern, its (boat)",Noun,kingua,sternn.mp3,,kingua,sternn.mp3,,boatstern.gif,,Transportation,Candace Branson,,TRUE,
steering wheel,Noun,aqusuun; aqusuuteq,steeringwheel3n.mp3,,aqusuun; aqusuuteq,steeringwheel2n.mp3,,steeringwheel.gif,,Transportation,Candace Branson,,TRUE,
steering wheel; fin,Noun,aquwik,steeringwheel1n.mp3,,aquwik,steeringwheel1n.mp3,,,,Transportation,Candace Branson,,TRUE,
steam,Noun,arillaq,,Cainiik arilliraa. - The kettle is starting to steam.,arillaq,steams.mp3,Cainiik arilliraa. - The kettle is starting to steam.,steam.gif,,"Household, Community & Work, Environment & Location",Candace Branson,AWOTW,TRUE,
"steambathing, s/he is",Verb,maqiyuq,,,maqiyuq,steambathings.mp3,,Fotosearch_EVW_123.gif,,"Household, Physical Actions",Candace Branson,,TRUE,
"standing, s/he is",Verb,nangarngauq,standingn.mp3,,nangarngauq,standingn.mp3,,standing.gif,,Physical Actions,Candace Branson,,TRUE,
"sparrow, golden crowned",Noun,ikuwitii(q),goldensparrow.mp3,,iiyapawawi'i(q),,,sparrow.gif,,Animals,Candace Branson,,TRUE,
spade (in cards),Noun,piikiiq,spadesn.mp3,,piikiiq,spades.mp3,,spades.gif,,Communication & Arts,Candace Branson,,TRUE,
"snack, to",Verb,miluqarluni,motorizedsaw.mp3,,miluqarluni,,,,,Food & Kitchen,Candace Branson,Remembered Word,TRUE,
"slow, s/he/it is; not fast, s/he/it is",Verb,piraituq,l2.09.02s.mp3,,piraituq,L2.09.02s.mp3,,slow_copy3.jpg,,"Physical Actions, Qualities",Candace Branson,,TRUE,
"skin boat, large",Noun,angyaq,skinboatlargen.mp3,,angyaq,skinboatlargen.mp3,,Angyaq.gif,,"Transportation, Transportation",Candace Branson,,TRUE,
skiff,Noun,skiifaq; skiiguaq,skiffn.mp3,,skiifaq; skiiguaq,skiffn.mp3,,SKW_045.gif,,"Transportation, Transportation",Candace Branson,,TRUE,
"sliding, s/he is",Verb,lluuwartuq,slidingheisn.mp3,,lluuwartuq,slidingheisn.mp3,,sliding.gif,,"Community & Work, Physical Actions",Candace Branson,,TRUE,
slide,Noun,lluuwarwik,sliden.mp3,,lluuwarwik,sliden.mp3,,slide.gif,,Community & Work,Candace Branson,,TRUE,
Tatitlek,Noun,Taatiitllaaq,tatitlekn.mp3,,Taatiitllaaq,tatitlekn.mp3,,Tatitlek.gif,,Placenames,Candace Branson,,TRUE,
Perryville,Noun,Perry-q,perryvillen.mp3,,Perry-q,perryvilles.mp3,,Perryville.gif,,Placenames,Candace Branson,,TRUE,
Naknek,Noun,Nakniq,naknekn.mp3,,Nakniq,nakneks.mp3,,Naknek.gif,,Placenames,Candace Branson,,TRUE,
Marmot Island,Noun,Na'iliraq,,,Na'iliraq,marmotislands.mp3,,marmotisland.gif,Nailirar-,Placenames,Candace Branson,,TRUE,
