english,part_of_speech,alutiiq_north,north_audio,north_sentence,alutiiq_south,south_audio,south_sentence,image_name,root_word,category,edited_by,notes,completed,approved
house's inside,Noun,englum ilua,insidehousen.mp3,,unglum ilua,insidehousen.mp3,,houseinside.gif,,Household,Candace Branson,,TRUE,
hose,Noun,hausaq,hosen.mp3,,hausaq,hosen.mp3,,hose.gif,,Community & Work,Candace Branson,,TRUE,
"hitting it (repeatedly), s/he is",Verb,kaugturaa,hittingitn.mp3,,kaugturaa,hittingitn.mp3,,mallet.jpg,,Physical Actions,Candace Branson,,TRUE,
"hitting it (once), s/he is",Verb,kaugaa,hititn.mp3,,kaugaa,hititn.mp3,,mallet_copy1.jpg,,Physical Actions,Candace Branson,,TRUE,
"holding him/her, s/he is",Verb,tuumiaqaa,holdingitsheisn.mp3,,tuumiaqaa,holdingitsheisn.mp3,,holding.gif,,Physical Actions,Candace Branson,,TRUE,
"holding money, s/he is",Verb,tuumiaqai akit,holdingmoneyn.mp3,,tuumiaqai akit,holdingmoneyn.mp3,,SKH_043.gif,,Physical Actions,Candace Branson,,TRUE,
"holiday, religious",Noun,agayuusinaq,holidayreligiousn.mp3,,agayuusinaq,holidayreligiousn.mp3,,,,Numbers & Time,Candace Branson,Remembered Word,TRUE,
"holiday, big",Noun,maqinsinaq,bigholidayn.mp3,,maqinsiinaq,bigholidayn.mp3,,,,Numbers & Time,Candace Branson,Remembered Word,TRUE,
cave,Noun,legtaq,,Legtaq tamlertuq. - The cave is dark.,legtaq,caves.mp3,Legtaq tamlertuq. - The cave is dark.,cave_copy1.jpg,,Environment & Location,Candace Branson,AWOTW,TRUE,
hairbrush,Noun,nuyat asircarsuutiit,hairbrushn.mp3,,nuyat asircarsuutiit,hairbrushn.mp3,,brush2.jpg,,Household,Candace Branson,New Word,TRUE,
Halloween (Masks' Day),Noun,Giinaruat Ernera,halloweenn.mp3,,Giinaruat Ernera,halloweenn.mp3,,SKT_174.gif,,"Community & Work, Community & Work",Candace Branson,Holiday,TRUE,
hamburger (ground meat),Noun,augngasqaq kemek,hamburgern.mp3,,augngasqaq kemek,hamburgern.mp3,,hamburger.gif,,Food & Kitchen,Candace Branson,New Word,TRUE,
hand-barrel,Noun,nastiil'kaaq,handbarreln.mp3,,nastiil'kaaq,handbarreln.mp3,,,,Community & Work,Candace Branson,,TRUE,
handbarrow; hand-barrel,Noun,nasiilekaaq (lost word),handbarrow.mp3,,,handbarrow.mp3,,,,"Household, Community & Work",Candace Branson,Lost Words Project. NVA-004.v1.n4f,TRUE,
"happy, s/he is; proud, s/he is",Verb,silugtuq,happyn.mp3,,silugtuq,happyn.mp3,,happy.gif,,Senses & Emotions,Candace Branson,,TRUE,
handle,Noun,puunga(q),handlen.mp3,,puunga(q),handlen.mp3,,handle.gif,,Community & Work,Candace Branson,,TRUE,
Hawai'i; Hawaii,Noun,Hawa'iq,hawaiin.mp3,,Hawa'iq,hawaiin.mp3,,Hawaii.gif,,"Placenames, Placenames",Candace Branson,New Word,TRUE,
headache medicine (thing for no headache),Noun,nasqulngunaisuuteq,headachemedn.mp3,,nasqulngunaisuuteq,headachemedn.mp3,,fotosearch_swo_157.jpg,,Body & Health,Candace Branson,New Word,TRUE,
"hat, man's",Noun,fu_iyaskaq,manshatn.mp3,,fu_askaq,manshatn.mp3,,hat.gif,,Clothing & Regalia,Candace Branson,,TRUE,
"head aches, his/her; headache",Verb,nasqulnguuq,headachen.mp3,,nasqulnguuq,headachen.mp3,,Fotosearch_SWO_157.gif,,Body & Health,Candace Branson,,TRUE,
heart shape; card suit; artificial heart,Noun,unguwat'ruaq; nulluruaq,HeartShape.mp3,,unguwat'ruaq; nulluruaq,HeartShape.mp3,,Heart.gif,,Qualities,Candace Branson,Shape,TRUE,
clay,Noun,qikuq,,Qikumek asulitaartut. - They make pots out of clay.,qikuq,clays.mp3,Qikumek asulitaartut. - They make pots out of clay.,qikuq.jpeg,,Environment & Location,Candace Branson,AWOTW,TRUE,
comb,Noun,kacagtuut(eq),combn.mp3,,kacagtuut(eq),combn.mp3,,comb.gif,,Household,Candace Branson,,TRUE,
cookbook,Noun,kenirtem naaqisuuta,cookbookn.mp3,,kenirtem naaqisuuta,cookbookn.mp3,,cookbook.gif,,Food & Kitchen,Candace Branson,,TRUE,
cookies,Noun,p_aanikaat,cookiesn.mp3,,p_aanikaat,cookiesn.mp3,,SKT_102.gif,,"Food & Kitchen, Food & Kitchen, Food & Kitchen",Candace Branson,,TRUE,
cracker,Noun,sug'a_iq,crackern.mp3,,sug'aliq,crackers.mp3,,cracker.gif,,Food & Kitchen,Candace Branson,,TRUE,
crowbar,Noun,kluyutaq,crowbarn.mp3,,kluyutaq,crowbarn.mp3,,crowbar.gif,,Community & Work,Candace Branson,,TRUE,
